Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2013-10-20,Packers,Browns,1,12:29,2,6,CLE 10,6-0,Aaron Rodgers pass complete short left to Jermichael Finley for 10 yards touchdown,10,4.710,7.000,2.29
2013-10-20,Packers,Browns,4,8:33,1,1,CLE 1,23-6,Aaron Rodgers pass complete short left to Jordy Nelson for 1 yard touchdown,1,6.970,7.000,.03
2013-10-20,Packers,Browns,4,3:52,2,6,CLE 20,30-13,Aaron Rodgers pass complete short right to Jarrett Boykin for 20 yards touchdown,20,3.970,7.000,3.03
2013-10-13,Packers,Ravens,3,2:22,1,10,GNB 36,15-3,Aaron Rodgers pass complete deep middle to Jordy Nelson for 64 yards touchdown,64,1.330,7.000,5.67
2013-10-06,Packers,Lions,3,3:23,2,15,GNB 17,15-3,Aaron Rodgers pass complete deep left to James Jones for 83 yards touchdown,83,-0.940,7.000,7.94
2013-09-22,Packers,Bengals,3,5:36,2,7,CIN 7,29-14,Aaron Rodgers pass complete short left to James Jones for 7 yards touchdown. Penalty on James Harrison: Defensive Offside (Declined),7,4.760,7.000,2.24
2013-09-15,Packers,Washington,1,2:34,4,3,WAS 35,9-0,Aaron Rodgers pass complete short middle to Randall Cobb for 35 yards touchdown,35,0.990,7.000,6.01
2013-09-15,Packers,Washington,2,11:44,3,14,WAS 14,16-0,Aaron Rodgers pass complete short middle to Jordy Nelson for 14 yards touchdown,14,3.000,7.000,4.00
2013-09-15,Packers,Washington,2,7:13,2,3,WAS 3,23-0,Aaron Rodgers pass complete short right to Jermichael Finley for 3 yards touchdown,3,5.530,7.000,1.47
2013-09-15,Packers,Washington,3,8:20,1,10,WAS 15,30-0,Aaron Rodgers pass complete short right to Jordy Nelson for 15 yards touchdown,15,4.580,7.000,2.42
2013-09-08,Packers,49ers,1,1:11,2,5,SFO 5,6-7,Aaron Rodgers pass complete short right to Randall Cobb for 5 yards touchdown,5,5.150,7.000,1.85
2013-09-08,Packers,49ers,2,0:21,1,10,SFO 12,13-14,Aaron Rodgers pass complete short right to Jermichael Finley for 12 yards touchdown,12,4.780,7.000,2.22
2013-09-08,Packers,49ers,3,3:52,1,8,SFO 8,20-21,Aaron Rodgers pass complete short right to Jordy Nelson for 8 yards touchdown,8,5.370,7.000,1.63
